"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1763","Прроверка страницы Дашборд","LMS","2026-07-29","passed","2026-07-29","Dashboard","Dashboard","",""
"","1828","Авторизация с невалидными email и password","LMS","2026-07-29","passed","2026-07-29","Authorization","Authentication","",""
"","3302","Создание курса с валидными данными","LMS","2026-07-29","passed","2026-07-29","Courses","Courses","",""
"","2184","Регистрация с валидными данными","LMS","2026-07-29","passed","2026-07-29","Registration","Authentication","",""
"","3816","Авторизация с валидными данными","LMS","2026-07-29","passed","2026-07-29","Authorization","Authentication","",""
"","2191","Авторизация с невалидными email и password","LMS","2026-07-29","passed","2026-07-29","Authorization","Authentication","",""
"","1969","Авторизация с невалидными email и password","LMS","2026-07-29","passed","2026-07-29","Authorization","Authentication","",""
"","3889","Редактирование курса с валидными данными","LMS","2026-07-29","passed","2026-07-29","Courses","Courses","",""
"","1904","Проверка страницы с курсами","LMS","2026-07-29","passed","2026-07-29","Courses","Courses","",""
"","1687","Проверка навигации из авторизации в регистрацию","LMS","2026-07-29","passed","2026-07-29","Authorization","Authentication","",""
